제목,기관명,표준직무(NCS),고용형태,대체인력여부,채용구분,공고기간,학력정보,근무지,채용인원,원문URL,등록일,마감일,상태
한전KPS(주) 남제주사업소 한림복합 경상정비공사 단기노무원 채용 공고,한전KPS(주),기계/전기.전자,비정규직,아니오,신입+경력,2025.09.09~2025.09.24,학력무관,제주,1명,https://www.kps.co.kr/,2025.09.09,2025.09.24,마감
한전KPS(주)광주전남전력지사 해남지점 단기노무원 채용,한전KPS(주),전기.전자,비정규직,아니오,신입+경력,2025.09.09~2025.09.15,학력무관,전남,1명,https://www.kps.co.kr,2025.09.09,2025.09.15,마감
한국농어촌공사 옥천영동지사 일반계약직(육아휴직 대체인력) 채용 공고,한국농어촌공사,사업관리/경영.회계.사무/농림어업,비정규직,예,신입+경력,2025.09.09~2025.09.23,학력무관,충북,1명,https://www.ekr.or.kr/planweb/board/view.krc?dataUid=8a8bb3529665d71401992bdb56490e37&page=1&boardUid=402880317cc0644a017cc5e8000f06b7&contentUid=402880317cc0644a017cc0c9da9f0120&searchType=&keyword=&categoryUid1=&categoryUid2=&cateogryUid3=,2025.09.09,2025.09.23,마감
한전KPS(주)광주전남전력지사 강진지점 단기노무원 채용,한전KPS(주),전기.전자,비정규직,아니오,신입+경력,2025.09.09~2025.09.12,학력무관,전남,1명,https://www.kps.co.kr,2025.09.09,2025.09.12,마감
한전KPS(주) 대외사업센터 단기노무원 채용 공고(파주에너지서비스),한전KPS(주),기계,비정규직,아니오,신입+경력,2025.09.09~2025.09.19,학력무관,경기,15명,http://www.kps.co.kr,2025.09.09,2025.09.19,마감
한국도로공사 이천지사 기간제근로자(상황관리원) 채용공고,한국도로공사,환경.에너지.안전,비정규직,예,신입+경력,2025.09.09~2025.09.15,학력무관,경기,1명,https://www.ex.co.kr,2025.09.09,2025.09.15,마감
한국도로공사 경기광주지사 기간제근로자(안전순찰원) 채용공고,한국도로공사,운전.운송,비정규직,예,신입+경력,2025.09.09~2025.09.15,학력무관,경기,1명,https://www.ex.co.kr,2025.09.09,2025.09.15,마감
[한국수자원공사] 아산권지사 사회형평적 인재 단기계약근로자 채용 공고(장애인 제한채용),한국수자원공사,경영.회계.사무,비정규직,아니오,신입+경력,2025.09.09~2025.09.16,학력무관,충남,1명,https://k-water.recruiter.co.kr/,2025.09.09,2025.09.16,마감
2025년 지리산생태탐방원 기간제[한시인력_탐방운전] 직원 채용 공고,국립공원공단,운전.운송,비정규직,아니오,신입+경력,2025.09.09~2025.09.17,학력무관,전남,1명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM017995,2025.09.09,2025.09.17,마감
[한국수자원공사] 청주권지사 단기계약근로자(취수장 시설운영) 채용 공고,한국수자원공사,건설/기계/전기.전자/정보통신/환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.09~2025.09.16,학력무관,충북,1명,https://k-water.recruiter.co.kr/,2025.09.09,2025.09.16,마감
[한국수자원공사] 전주권지사 특수직(사무관리_건설사업) 채용 공고,한국수자원공사,경영.회계.사무,비정규직,아니오,신입+경력,2025.09.09~2025.09.24,학력무관,전북,1명,https://k-water.recruiter.co.kr/,2025.09.09,2025.09.24,마감
한국특허기술진흥원 체험형 청년인턴 채용 안내,한국특허기술진흥원,경영.회계.사무/법률.경찰.소방.교도.국방,청년인턴(체험형),아니오,신입,2025.09.09~2025.09.23,학력무관,서울,1명,https://www.kipro.or.kr/board/recruitment/view/180,2025.09.09,2025.09.23,마감
칠곡경북대학교병원 2025년 9월 2차 임시직원 채용공고(운영지원(주차) 운영지원(특별청소) 행정),경북대학교병원,보건.의료,비정규직,예,신입+경력,2025.09.09~2025.09.15,학력무관,대구,3명,https://www.knuch.kr:442/content/04info/11_01.asp?proc_type=view&b_num=5008&rtn_url=%2Fcontent%2F04info%2F11%5F01%2Easp,2025.09.09,2025.09.15,마감
한국부동산원 신입직원 채용 공고,한국부동산원,경영.회계.사무/정보통신,청년인턴(채용형)/정규직,아니오,신입,2025.09.09~2025.09.24,학력무관/석사,서울/인천/대전/대구/부산/광주/울산/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종,11명,https://www.reb.or.kr/recruit,2025.09.09,2025.09.24,마감
한전KDN(주) 구미지사 AMI분야 일용근로자 모집공고,한전KDN,전기.전자/정보통신,비정규직,아니오,신입+경력,2025.09.09~2025.09.23,학력무관,경북,6명,.,2025.09.09,2025.09.23,마감
한전KDN(주) 대구경북지역본부 직할 포항지사 AMI분야 작업원 모집공고,한전KDN,전기.전자/정보통신,비정규직,아니오,신입+경력,2025.09.09~2025.09.23,학력무관,경북,5명,없음,2025.09.09,2025.09.23,마감
2025년도 한국농업기술진흥원 창업육성팀 서울농식품벤처창업센터 기간제 근로자(일반계약직) 채용 공고,한국농업기술진흥원,사업관리/경영.회계.사무,비정규직,아니오,신입+경력,2025.09.09~2025.09.19,학력무관,서울,1명,https://www.koat.or.kr/board/recruit_info/list.do,2025.09.09,2025.09.19,마감
한국국제보건의료재단 [2025-3호] 직원채용,한국국제보건의료재단,사업관리/경영.회계.사무,비정규직/청년인턴(체험형),예,신입+경력,2025.09.09~2025.09.23,학력무관/대졸(4년)/석사/박사,서울/해외,11명,https://www.kofih.org/web/lay1/bbs/S1T11C30/A/20/list.do,2025.09.09,2025.09.23,마감
(수정) 2025-10회 생명과학 연구클러스터 연구직·별정직 채용 공고,기초과학연구원,연구,비정규직,예,신입+경력,2025.09.09~2025.10.01,대졸(4년),대전,4명,https://ibs.re.kr/prog/recruit/kor/sub04_01/list.do,2025.09.09,2025.10.01,마감
2025년 한국법무보호복지공단 인천지부 보호직(육아휴직대체직) 공개경쟁채용시험 공,한국법무보호복지공단,사회복지.종교,비정규직,예,신입,2025.09.08~2025.09.23,학력무관,인천,1명,https://recruit.incruit.com/koreha,2025.09.08,2025.09.23,마감
한국보건사회연구원 계약직 연구원 채용 공고(인구정책연구실),한국보건사회연구원,사업관리/연구,비정규직,예,신입,2025.09.08~2025.09.22,석사,세종,1명,https://kihasa.recruiter.co.kr,2025.09.08,2025.09.22,마감
2025년 영화진흥위원회 변호사(전문계약직) 공개채용 공고,영화진흥위원회,법률.경찰.소방.교도.국방/문화.예술.디자인.방송,비정규직,아니오,신입+경력,2025.09.08~2025.09.23,학력무관,부산,1명,https://www.kofic.or.kr/kofic/business/board/selectBoardDetail.do?boardNumber=4,2025.09.08,2025.09.23,마감
(수정) [광주보훈병원] 정규직 기능직(산업안전관리자) 직원 채용,한국보훈복지의료공단,보건.의료,정규직,아니오,신입+경력,2025.09.08~2025.09.22,학력무관,광주,1명,https://gwangju.bohun.or.kr/010intro/05_body_view.php?left=9&postidx=65258&boardid=cbid2&page=1&opt=&keyword=,2025.09.08,2025.09.22,마감
2025년 대체인력(단시간 근로) 공개채용 공고(장애인 제한),영화진흥위원회,경영.회계.사무/문화.예술.디자인.방송,비정규직,예,신입,2025.09.08~2025.09.23,학력무관,부산,3명,https://www.kofic.or.kr/kofic/business/board/selectBoardDetail.do?boardNumber=4,2025.09.08,2025.09.23,마감
2025년 대체인력(일반사무) 공개채용 공고,영화진흥위원회,경영.회계.사무/문화.예술.디자인.방송,비정규직,예,신입,2025.09.08~2025.09.23,학력무관,부산,1명,https://www.kofic.or.kr/kofic/business/board/selectBoardDetail.do?boardNumber=4,2025.09.08,2025.09.23,마감
2025년 임상교수요원(심장혈관흉부외과) 공개채용 공고,전북대학교병원,보건.의료,정규직,아니오,신입+경력,2025.09.08~2025.09.12,대졸(4년),전북,1명,https://jbuh.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=227809,2025.09.08,2025.09.12,마감
2025년 대한장애인체육회 제5차 채용 ,대한장애인체육회,사업관리/보건.의료/기계,무기계약직/비정규직/정규직,예,신입+경력,2025.09.08~2025.09.23,학력무관,경기,4명,https://www.koreanpc.kr/coc/CocNotiRcrutPbancDtl/BBS0000003/PST0013200,2025.09.08,2025.09.23,마감
2025년 하반기 해양환경공단 체험형 청년인턴(장애인 제한경쟁) 채용 재공고,해양환경공단,경영.회계.사무,청년인턴(체험형),아니오,신입,2025.09.08~2025.09.18,학력무관,서울/부산,2명,https://www.koem.or.kr/site/insa/ex/board/View.do?cbIdx=478&bcIdx=34833,2025.09.08,2025.09.18,마감
우체국물류지원단 부산지사 부산_ 진주사업소 추석 특별소통 기간제(상하차직_ 운전직) 채용 공고,(재)우체국물류지원단,운전.운송,비정규직,아니오,신입+경력,2025.09.08~2025.09.15,학력무관,부산/경남,6명,http://www.pola.or.kr,2025.09.08,2025.09.15,마감
정규직 직원모집 공고(정신건강의학과)_채용완료시 공고종료,한국원자력의학원,보건.의료,정규직,아니오,신입+경력,2025.09.08~2025.12.31,대졸(4년)/석사,서울,1명,http://kirams.recruiter.co.kr ,2025.09.08,2025.12.31,진행중
(수정) (공고변경) 한국문화예술교육진흥원 직원 채용 공고(25-5차),한국문화예술교육진흥원,사업관리/경영.회계.사무/교육.자연.사회과학/문화.예술.디자인.방송,무기계약직/비정규직,예,신입,2025.09.08~2025.09.23,학력무관,서울,9명,https://arte.fairyhr.com,2025.09.08,2025.09.23,마감
한국문화관광연구원 2025년 하반기 직원 채용 공고(연구직 3명_ 행정직 2명),한국문화관광연구원,경영.회계.사무/연구,정규직,아니오,신입+경력,2025.09.08~2025.09.22,고졸/대졸(2~3년)/대졸(4년)/석사/박사,서울,5명,https://kcti.re.kr/web/board/boardContentsView.do?link_g_topmenu_id=ddae821ae0f44206abfef8bb42bbd86f&link_g_submenu_id=588dd60e4c414d5a9131a2e1db29910e&link_g_homepage=F&board_id=19&contents_id=b03b00182b7a49fca8743bba7a51e785,2025.09.08,2025.09.22,마감
한국환경공단 충청권환경본부 환경시설관리처 기간제근로자(일용직) 채용 공고,한국환경공단,경영.회계.사무,비정규직,아니오,신입+경력,2025.09.08~2025.09.22,학력무관,충북,2명,https://www.keco.or.kr/web/lay1/bbs/S1T1205C1207/A/22/view.do?article_seq=84959&cpage=1&rows=10&condition=&keyword=,2025.09.08,2025.09.22,마감
[태백병원] 공무직(방사선사) 채용공고,근로복지공단,보건.의료,무기계약직,아니오,신입,2025.09.08~2025.09.15,학력무관,강원,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.09.08,2025.09.15,마감
[태백병원] 장애전형 청년(체험형)인턴 채용 공고,근로복지공단,보건.의료,청년인턴(체험형),아니오,신입,2025.09.08~2025.09.15,학력무관,강원,5명,https://www.comwel.or.kr/recruit/hp/main.do,2025.09.08,2025.09.15,마감
2025년도 제4차 장애인기업종합지원센터 직원채용 공고(기간제 인력채용)_진주 가치만드소,재단법인 장애인기업종합지원센터,사업관리/경영.회계.사무,비정규직,아니오,신입,2025.09.08~2025.09.22,고졸/대졸(2~3년)/대졸(4년),경남,1명,https://debc.or.kr/bbs/board.php?bo_table=s2_8&wr_id=1195,2025.09.08,2025.09.22,마감
2025년 지리산생태탐방원 국립공원지킴이(한시인력) 직원 채용 공고,국립공원공단,경비.청소/환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.08~2025.09.19,학력무관,전남,1명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM017992,2025.09.08,2025.09.19,마감
우체국물류지원단 경인지사 안양_ 부평물류사업소 추석 특별소통 기간제(일용직_우편물 구분) 채용 공고,(재)우체국물류지원단,운전.운송,비정규직,아니오,신입+경력,2025.09.08~2025.10.14,학력무관,인천/경기,210명,http://www.pola.or.kr,2025.09.08,2025.10.14,진행중
[국민연금공단 서울남부지역본부] 공무직(시설직) 및 기간제근로자(근로능력평가직-의학적평가) 공개채용 공고,국민연금공단,보건.의료/기계/전기.전자/환경.에너지.안전,무기계약직/비정규직,예,신입+경력,2025.09.08~2025.09.15,학력무관,서울/강원,4명,https://www.nps.or.kr/pnsgdnc/hiregdnc/getOHAE0004M0List.do?menuId=MN24000969,2025.09.08,2025.09.15,마감
2025년도 제4차 장애인기업종합지원센터 직원채용 공고(기간제 인력채용)_광주 가치만드소,재단법인 장애인기업종합지원센터,사업관리/경영.회계.사무,비정규직,아니오,신입,2025.09.08~2025.09.22,고졸/대졸(2~3년)/대졸(4년),광주,1명,https://debc.or.kr/bbs/board.php?bo_table=s2_8&wr_id=1194,2025.09.08,2025.09.22,마감
한전KDN(주) 보안관제 프로젝트 계약근로자 모집공고,한전KDN,정보통신,비정규직,아니오,신입+경력,2025.09.08~2025.09.23,학력무관,충남,1명,.,2025.09.08,2025.09.23,마감
 (통영적십자병원) 정규직 간호사 채용 공고,대한적십자사,보건.의료,정규직,아니오,신입,2025.09.08~2025.09.24,학력무관,경남,1명,https://www.redcross.or.kr/redcross_whatsnew/redcross_whatsnew_notice_recruit.do,2025.09.08,2025.09.24,마감
한전KPS(주) 삼천포사업처 경상정비공사 안전감시관 채용(제50차),한전KPS(주),환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.08~2025.09.10,학력무관,경남,3명,https://www.kps.co.kr,2025.09.08,2025.09.10,마감
[대전보훈병원] 전문의(소화기내과_ 신장내과_ 피부과) 및 일반의(외래진료의_ 당직의) 공개채용,한국보훈복지의료공단,보건.의료,비정규직,아니오,신입+경력,2025.09.08~2025.09.22,학력무관,대전,7명,https://daejeon.bohun.or.kr/010intro/05_body_view.php?left=8&postidx=65251&boardid=cbid2&page=1&opt=&keyword=,2025.09.08,2025.09.22,마감
[세종] 2025년 계약직 전문의(소아전문응급의료센터) 상시모집공고,충남대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.09.08~2025.12.31,학력무관,세종,1명,https://cnuhinsa.recruiter.co.kr/career/jobs/83039,2025.09.08,2025.12.31,진행중
2025년 청년인턴 공개채용,정보통신정책연구원,사업관리,청년인턴(체험형),아니오,신입+경력,2025.09.08~2025.09.22,대졸(4년)/석사,충북,1명,https://www.kisdi.re.kr/bbs/view.do?bbsSn=114730&key=m2101113056115&pageIndex=1&sc=&sw=,2025.09.08,2025.09.22,마감
우체국물류지원단 서울지사 동서울물류사업소 추석 특별소통 기간제(일용직_우편물 구분) 채용 공고,(재)우체국물류지원단,운전.운송,비정규직,아니오,신입+경력,2025.09.08~2025.09.26,학력무관,서울,65명,http://www.pola.or.kr,2025.09.08,2025.09.26,마감
[제2025-15호] 육아정책연구소 정규직 부연구위원 채용,육아정책연구소,연구,정규직,아니오,신입+경력,2025.09.08~2025.09.22,박사,서울,2명,https://www.kicce.re.kr/main/board/view.do?menu_idx=97&manage_idx=65&board_idx=53367,2025.09.08,2025.09.22,마감
한전KPS(주) 대외사업센터 단기노무원 채용 공고(당진 현대그린파워),한전KPS(주),기계,비정규직,아니오,신입+경력,2025.09.08~2025.09.10,학력무관,충남,3명,http://www.kps.co.kr,2025.09.08,2025.09.10,마감
2025년 7차 직원(위촉연구원(과제 수행)) 채용 공고,한국나노기술원,경영.회계.사무/전기.전자/연구,비정규직,아니오,신입+경력,2025.09.08~2025.09.23,학력무관/대졸(4년)/박사,경기,7명,https://www.kanc.re.kr/gnb04/snb02_02.do?mode=view&cid=5115,2025.09.08,2025.09.23,마감
[대전.세종.충남지부] 예산교육장 임시고용원(일용직) 채용 공고,한국도로교통공단,경영.회계.사무,비정규직,예,신입,2025.09.08~2025.09.15,학력무관,충남,1명,https://www.koroad.or.kr/main/recruit/recruitment_list.do,2025.09.08,2025.09.15,마감
[대전] 충남대학교병원 2025년 9월 계약직(장애인) 외곽청소_ 검진보조 공개채용 모집공고,충남대학교병원,보건.의료,비정규직,아니오,신입,2025.09.08~2025.09.22,학력무관,대전,3명,https://cnuhinsa.recruiter.co.kr/career/home,2025.09.08,2025.09.22,마감
한국폴리텍대학 남대구캠퍼스 체험형 청년인턴(일반) 채용 공고,학교법인한국폴리텍,경영.회계.사무,청년인턴(체험형),아니오,신입+경력,2025.09.08~2025.09.15,학력무관,대구,2명,https://www.kopo.ac.kr/namdaegu/board.do?menu=10548&mode=view&post=756938,2025.09.08,2025.09.15,마감
연구교수 공개채용,서울대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.09.08~2025.09.15,석사/박사,서울,7명,http://www.snuh.org/about/news/recruit/recruView.do?recruit_id=25129,2025.09.08,2025.09.15,마감
한전KDN(주) 부산울산경남지역본부 직할 AMI일괄위탁 유지보수 일용원 모집공고(9월),한전KDN,정보통신,비정규직,아니오,신입+경력,2025.09.08~2025.09.22,학력무관,부산,1명,없음.,2025.09.08,2025.09.22,마감
한국토지주택공사 광주전남지역본부 기간제근로자(주거복지관리) 채용공고(2025.09),한국토지주택공사,경영.회계.사무/사회복지.종교,비정규직,예,신입,2025.09.08~2025.09.22,학력무관,광주,1명,https://lh.or.kr/board.es?mid=a10602050000&bid=0036&act=view&list_no=726416&tag=&nPage=1,2025.09.08,2025.09.22,마감
[KDI국제정책대학원] 2025년 제6차 인턴 채용(경영기획),KDI국제정책대학원,사업관리/경영.회계.사무/교육.자연.사회과학,청년인턴(체험형),아니오,신입+경력,2025.09.08~2025.09.22,학력무관,세종,2명,https://kdischool.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=227594,2025.09.08,2025.09.22,마감
한전KPS(주) 보령사업처 제25-16차 단기노무원 채용공고(안전감시관),한전KPS(주),환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.08~2025.09.14,학력무관,충남,1명,https://www.kps.co.kr,2025.09.08,2025.09.14,마감
2025년 4기 체험형 청년인턴 모집,대한무역투자진흥공사,경영.회계.사무,청년인턴(체험형),아니오,신입,2025.09.08~2025.09.22,고졸,서울/인천/대전/대구/부산/광주/울산/경기/강원/충남/충북/경북/경남/전북,00명,https://kotra.applyin.co.kr/jobs/19255,2025.09.08,2025.09.22,마감
[직원채용] (신규) 무기계약직 일반업무직(병동·외래특수) 공개 채용,동남권원자력의학원,보건.의료,무기계약직,예,신입+경력,2025.09.06~2025.09.19,고졸,부산,10명,https://diramsjob.recruiter.co.kr/career/home,2025.09.06,2025.09.19,마감
(수정) 칠곡경북대학교병원 2025년 9월 1차 임시직원 채용공고(간호사 행정),경북대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.09.06~2025.09.11,학력무관/대졸(2~3년),대구,8명,https://www.knuch.kr:442/content/04info/11_01.asp?proc_type=view&b_num=5007&rtn_url=%2Fcontent%2F04info%2F11%5F01%2Easp,2025.09.06,2025.09.11,마감
[직원채용] 별정직 보건직(방사선진단치료팀 방사선사/휴직대체) 공개 채용,동남권원자력의학원,보건.의료,비정규직,예,신입+경력,2025.09.06~2025.09.19,대졸(2~3년),부산,1명,https://diramsjob.recruiter.co.kr/career/home,2025.09.06,2025.09.19,마감
한국마사회 경마지원직 채용공고(부산동구지사 실버직),한국마사회,경비.청소/이용.숙박.여행.오락.스포츠,비정규직,아니오,신입,2025.09.05~2025.09.20,학력무관,부산,5명,https://recruit.kra.co.kr/web/sfr003/sfr00302P010.do?menuId=M0012,2025.09.05,2025.09.20,마감
한국마사회 경마지원직 채용공고(부산경남경마공원 고객구호직),한국마사회,보건.의료/이용.숙박.여행.오락.스포츠,무기계약직,아니오,신입,2025.09.05~2025.09.20,학력무관,부산,1명,https://recruit.kra.co.kr/web/sfr003/sfr00302P010.do?menuId=M0012,2025.09.05,2025.09.20,마감
한국마사회 경마지원직  채용공고(부산경남경마공원 및 부산경남권 지사 진행직),한국마사회,문화.예술.디자인.방송/경비.청소/이용.숙박.여행.오락.스포츠,무기계약직,아니오,신입,2025.09.05~2025.09.20,학력무관,부산/경남,34명,https://recruit.kra.co.kr/web/sfr003/sfr00302P010.do?menuld=M0012,2025.09.05,2025.09.20,마감
계약직 연구원(응급의료정책연구팀) 채용 공고,국립중앙의료원,보건.의료,비정규직,아니오,신입+경력,2025.09.05~2025.09.22,대졸(4년),서울,1명,https://nmc.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=227662,2025.09.05,2025.09.22,마감
한국보건사회연구원 계약직 행정원 채용(재정통계연구실 지역사회보장균형발전지원센터),한국보건사회연구원,사업관리,비정규직,예,신입,2025.09.05~2025.09.19,학력무관,세종,1명,https://kihasa.recruiter.co.kr,2025.09.05,2025.09.19,마감
한국농촌경제연구원 2025-23·24차(재공모) 계약직 채용 공고,한국농촌경제연구원,경비.청소/연구,비정규직,예,신입+경력,2025.09.05~2025.09.15,학력무관/석사,전남,2명,https://www.krei.re.kr/krei/page/69?cmd=view&pst=503994&pageIndex=1,2025.09.05,2025.09.15,마감
2025년도 하반기 한국산림복지진흥원 정규직(공무직) 채용 공고,한국산림복지진흥원,경영.회계.사무,무기계약직,아니오,신입,2025.09.05~2025.09.22,학력무관,대전/경북/전남,3명,https://fowi.or.kr/user/bbs/bbsView.do?bbsManageId=22&bbsId=8273,2025.09.05,2025.09.22,마감
[순천병원] 의료직 4급(약사) 채용 공고,근로복지공단,보건.의료,정규직,아니오,신입,2025.09.05~2025.09.15,학력무관,전남,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.09.05,2025.09.15,마감
[한국수자원공사] 단양수도지사 사회형평적 인재(사무관리_서무보조) 단기계약근로자 채용 공고(장애인 제한 채용),한국수자원공사,경영.회계.사무,비정규직,아니오,신입+경력,2025.09.05~2025.09.19,학력무관,충북,1명,https://k-water.recruiter.co.kr,2025.09.05,2025.09.19,마감
2025년도 하반기 한국산림복지진흥원 정규직(4급_ 5급_ 6급) 채용 공고,한국산림복지진흥원,사업관리/경영.회계.사무/교육.자연.사회과학/보건.의료/이용.숙박.여행.오락.스포츠/정보통신/환경.에너지.안전/농림어업,정규직,아니오,신입+경력,2025.09.05~2025.09.22,학력무관/고졸/대졸(2~3년)/대졸(4년)/석사/박사,대전/강원/경북/전북,20명,https://fowi.or.kr/user/bbs/bbsView.do?bbsManageId=22&bbsId=8272,2025.09.05,2025.09.22,마감
[한국수자원공사] 단양수도지사 단기계약근로자(수돗물안심서비스 운영보조) 채용 공고(재공고),한국수자원공사,경영.회계.사무/환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.05~2025.09.19,학력무관,충북,1명,https://k-water.recruiter.co.kr,2025.09.05,2025.09.19,마감
[대구병원] 장애전형 청년(체험형)인턴 채용 공고,근로복지공단,보건.의료,청년인턴(체험형),아니오,신입,2025.09.05~2025.09.15,학력무관,대구,5명,https://www.comwel.or.kr/recruit/hp/main.do,2025.09.05,2025.09.15,마감
(수정) [안산병원] 의료직 4급(약사) 채용 공고,근로복지공단,보건.의료,정규직,아니오,신입,2025.09.05~2025.09.15,학력무관,경기,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.09.05,2025.09.15,마감
(수정) [안산병원] 의료직 6급(간호사) 채용 공고,근로복지공단,보건.의료,정규직,아니오,신입,2025.09.05~2025.09.15,학력무관,경기,10명,https://www.comwel.or.kr/recruit/hp/main.do,2025.09.05,2025.09.15,마감
[동해병원] 기간제 의사(직업환경의학과) 채용 공고,근로복지공단,보건.의료,비정규직,아니오,신입,2025.09.05~2025.09.12,학력무관,강원,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.09.05,2025.09.12,마감
[동해병원] 기간제 의사(병동당직의) 채용 공고,근로복지공단,보건.의료,비정규직,아니오,신입,2025.09.05~2025.09.12,학력무관,강원,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.09.05,2025.09.12,마감
[태백요양병원] 장애전형 청년(체험형)인턴 채용 공고,근로복지공단,보건.의료,청년인턴(체험형),아니오,신입,2025.09.05~2025.09.15,학력무관,강원,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.09.05,2025.09.15,마감
[태백요양병원] 의료직 5급(간호사) 채용 공고,근로복지공단,보건.의료,정규직,아니오,경력,2025.09.05~2025.09.15,학력무관,강원,2명,https://www.comwel.or.kr/recruit/hp/main.do,2025.09.05,2025.09.15,마감
[중부지역본부] 국립공원공단 중부 권역 내 체험형 청년인턴 채용 추가접수 공고(제한경쟁_장애인),국립공원공단,환경.에너지.안전,청년인턴(체험형),아니오,신입+경력,2025.09.05~2025.09.09,학력무관,충남,1명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM017988,2025.09.05,2025.09.09,마감
한국노동연구원 청년인턴(행정직) 채용 공고,한국노동연구원,경영.회계.사무,청년인턴(체험형),아니오,신입,2025.09.05~2025.09.19,고졸/대졸(2~3년)/대졸(4년),세종,5명,https://kli.recruiter.co.kr/,2025.09.05,2025.09.19,마감
2개국(우즈벡_ 캄보디아) 정책자문사업 단기기간제 채용,노사발전재단,사업관리,비정규직,아니오,신입+경력,2025.09.05~2025.09.14,학력무관,서울,1명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51724136&view_type=etc,2025.09.05,2025.09.14,마감
한전KPS(주) 영흥사업처 #6 계획예방정비공사 단기노무원 모집(안전팀),한전KPS(주),보건.의료/건설,비정규직,아니오,신입+경력,2025.09.05~2025.09.09,학력무관,인천,1명,https://www.kps.co.kr,2025.09.05,2025.09.09,마감
한전KPS(주) 영흥사업처 경상정비공사 단기노무원 모집(안전팀),한전KPS(주),건설/환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.05~2025.09.09,학력무관,인천,2명,https://www.kps.co.kr,2025.09.05,2025.09.09,마감
한강수변생태관리단 기간제(매수토지 운영·관리 및 행정지원 등) 직원 채용공고,한국환경보전원,환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.05~2025.09.11,학력무관,경기,1명,https://www.keci.or.kr/common/bbs/selectBbs.do?bbs_code=A1003&bbs_seq=7883&sch_sort_col=&sch_sort=&sch_type=&row_per_page=&sch_text=&currentPage=1,2025.09.05,2025.09.11,마감
계약직(치과위생사) 모집 공고,강릉원주대학교치과병원,보건.의료,비정규직,예,신입+경력,2025.09.05~2025.09.15,학력무관,강원,1명,http://www.gwnudh.or.kr,2025.09.05,2025.09.15,마감
계약직(간호사) 모집 공고,강릉원주대학교치과병원,보건.의료,비정규직,예,신입+경력,2025.09.05~2025.09.15,학력무관,강원,2명,https://www.gwnudh.or.kr,2025.09.05,2025.09.15,마감
2025년 하반기 의사직 추가 채용 공고,경상국립대학교병원,보건.의료,정규직,아니오,신입+경력,2025.09.05~2025.09.11,학력무관,경남,2명,https://recruit.gnuh.co.kr,2025.09.05,2025.09.11,마감
시간제(계약직) 장애인 근무자 채용 공고,강릉원주대학교치과병원,경비.청소,비정규직,아니오,신입+경력,2025.09.05~2025.09.15,학력무관,강원,2명,https://www.gwnudh.or.kr,2025.09.05,2025.09.15,마감
한전KPS(주)강원충북전력지사 단기노무원(기술팀_태백지점_강릉지점) 채용 공고 ,한전KPS(주),전기.전자/환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.05~2025.09.08,학력무관,강원/충북,7명,www.kps.co.kr,2025.09.05,2025.09.08,마감
국토연구원 2025년 제9차 위촉직(기간제) 공개채용,국토연구원,연구,비정규직,아니오,신입+경력,2025.09.05~2025.09.19,학력무관,세종,2명,https://recruit.krihs.re.kr/ext/rec/rec_5010.do?ANNC_NO=25090301&SUPT_FLD_CD=0&DEG=0,2025.09.05,2025.09.19,마감
한국폴리텍대학 원주캠퍼스 행정지원직[육아휴직 대체] 채용 공고,학교법인한국폴리텍,경영.회계.사무,비정규직,예,신입+경력,2025.09.05~2025.09.18,학력무관,강원,1명,https://www.kopo.ac.kr/wonju/board.do?menu=3063&mode=view&post=756869,2025.09.05,2025.09.18,마감
한전KPS(주)안양사업소 경상정비공사 단기노무원 모집(정비보조),한전KPS(주),기계/전기.전자,비정규직,아니오,신입+경력,2025.09.05~2025.09.09,학력무관,경기,4명,https://www.kps.co.kr ,2025.09.05,2025.09.09,마감
